indicator,theme,metric_id,ord,label,new,year,proxy,transform,wt_intheme,wt_theme,type,datapoints,source_definition,source_ref,source_out
CAP,Core capability (education attainment and skill levels),cap_litscore,1,Literacy capability,FALSE,2012,TRUE,None,4,4,Social survey,1,Percentage of adults scoring high (level 4/5) in literacy.,OECD_2012_SKIL,PIAAC
CAP,Core capability (education attainment and skill levels),cap_numscore,2,Numeracy capability,FALSE,2012,TRUE,None,4,4,Social survey,1,Percentage of adults scoring high (level 4/5) in numeracy.,OECD_2012_SKIL,PIAAC
CAP,Core capability (education attainment and skill levels),cap_pslscore,3,Problem-solving capability,FALSE,2012,TRUE,None,4,4,Social survey,1,Percentage of adults scoring at level 3 in problem-solving in a technology-rich environment.,OECD_2012_SKIL,PIAAC
CAP,Core capability (education attainment and skill levels),cap_tertedu,4,Educational attainment,FALSE,2012,TRUE,None,4,4,Social survey,1,Percentage of public sector workforce with tertiary education.,OECD_2012_SKIL,PIAAC
CAP,Use of core skills at work,cap_ictwork,5,ICT use at work,TRUE,2012,TRUE,None,4,4,Social survey,1,"Index of use of ICT skills at work (email, internet, spreadsheets, word processing)",OECD_2012_SKIL,PIAAC
CAP,Use of core skills at work,cap_numwork,6,Numeracy at work,TRUE,2012,TRUE,None,4,4,Social survey,1,"Index of use of numeracy skills at work (calculating costs/numbers, charts/graphs, maths/statistics)",OECD_2012_SKIL,PIAAC
CAP,Use of core skills at work,cap_readwork,7,Reading at work,TRUE,2012,TRUE,None,4,4,Social survey,1,"Index of use of reading skills at work (correspondence, media, reference/ academic material, diagrams)",OECD_2012_SKIL,PIAAC
CAP,Use of core skills at work,cap_writwork,8,Writing at work,TRUE,2012,TRUE,None,4,4,Social survey,1,"Index of use of writing skills at work (correspondence, media, reports, filling in forms)",OECD_2012_SKIL,PIAAC
CAP,Organisational skills,cap_influence,9,Influencing at work,TRUE,2012,TRUE,None,3,4,Social survey,1,"Index of use of influencing skills at work (giving presentations/advice, instructing others, negotiation)",OECD_2012_SKIL,PIAAC
CAP,Organisational skills,cap_planning,10,Planning at work,TRUE,2012,TRUE,None,3,4,Social survey,1,"Index of use of planning skills at work (planning own and others’ activities, organising own time)",OECD_2012_SKIL,PIAAC
CAP,Organisational skills,cap_taskdisc,11,Task discretion at work,TRUE,2012,TRUE,None,3,4,Social survey,1,"Index of task discretion at work (choice in sequence of tasks, how to do work, rate, working hours)",OECD_2012_SKIL,PIAAC
CAP,Learning and development,cap_learnatwk,12,Learning at work,TRUE,2012,TRUE,None,3,4,Social survey,1,"Index of learning in the workplace (learn from colleagues, learn by doing, need to keep up-to-date)",OECD_2012_SKIL,PIAAC
CAP,Learning and development,cap_readytolrn,13,Openness to learning,TRUE,2012,TRUE,None,3,4,Social survey,1,"Index of readiness to learn (interest in learning, like solving problems, seek out new information)",OECD_2012_SKIL,PIAAC
CAP,Learning and development,cap_lrn12mth,14,Learning in the past year,TRUE,2012,TRUE,None,3,4,Social survey,1,Percentage who have participated in formal or informal learning for job-related reasons in past 12 months,OECD_2012_SKIL,PIAAC
CRM,Strategic approach to risk,crm_approach,1,Strategic approach,TRUE,2016,FALSE,Composite,5,3.3333333,Government assessment,7,Strategic level approaches to risk management,OECD_2016_RISK,OECD
CRM,Strategic approach to risk,crm_leadinstfunc,2,Lead risk institution,TRUE,2016,FALSE,Composite,5,3.3333333,Government assessment,11,Functions carried out by the lead institution,OECD_2016_RISK,OECD
CRM,Strategic approach to risk,crm_riskplanning,3,Risk planning extent,FALSE,2015,FALSE,Composite,5,3.3333333,Government assessment,7,Types of risk planning undertaken,UN_2015_HFAM,UN
CRM,Strategic approach to risk,crm_multihazard,4,Multi-hazard assessment,FALSE,2015,FALSE,Composite,5,3.3333333,Government assessment,5,Approach to multi-hazard assessment,UN_2015_HFAM,UN
CRM,Strategic approach to risk,crm_riskmonitoring,5,Risk onitoring,FALSE,2015,FALSE,Composite,5,3.3333333,Government assessment,4,Extent of risk monitoring,UN_2015_HFAM,UN
CRM,Risk preparations and management,crm_riskmgmtcap,6,Risk management capability,TRUE,2016,FALSE,Composite,4,3.3333333,Government assessment,5,Approach to ensuring capability in crisis and risk management,OECD_2016_RISK,OECD
CRM,Risk preparations and management,crm_preprdness,7,Preparedness,FALSE,2015,FALSE,Composite,4,3.3333333,Government assessment,5,Approach and policies for preparedness,UN_2015_HFAM,UN
CRM,Risk preparations and management,crm_econappraisal,8,Disaster spend appraisal,FALSE,2015,FALSE,Composite,4,3.3333333,Government assessment,6,Approach to economic appraisal of disaster spending,UN_2015_HFAM,UN
CRM,Risk preparations and management,crm_intlcoop,9,International cooperation,FALSE,2015,FALSE,Composite,4,3.3333333,Government assessment,6,Processes and activities in place for international cooperation,UN_2015_HFAM,UN
CRM,Risk communications,crm_communications,10,Crisis and risk communications,TRUE,2016,FALSE,Composite,2,5,Government assessment,3,Approaches to communicating information about risks before and during events,OECD_2016_RISK,OECD
CRM,Risk communications,crm_earlywarn,11,Early warning systems,FALSE,2015,FALSE,Composite,2,5,Government assessment,3,The existence and use of early warning systems,UN_2015_HFAM,UN
CRM,Post-disaster assessment,crm_evaluation,12,Risk research and evaluation,TRUE,2016,FALSE,Composite,2,5,Government assessment,3,Use of research and evaluation in risk management policy and planning,OECD_2016_RISK,OECD
CRM,Post-disaster assessment,crm_postdisaster,13,Post-disaster asessment,FALSE,2015,FALSE,Composite,2,5,Government assessment,3,Approach to assessing post-disaster losses and needs,UN_2015_HFAM,UN
DIG,User experience,dig_usr_busstart,1,UE Business start-up,TRUE,2016,TRUE,None,5,2.5,Expert assessment,1,Online availability and usability of services to start a business and initial operations,EC_2018_EGOV,eGBR
DIG,User experience,dig_usr_regbus,2,UE Regular business operations,TRUE,2017,TRUE,None,5,2.5,Expert assessment,1,Online availability and usability of services for regular business operations,EC_2018_EGOV,eGBR
DIG,User experience,dig_usr_family,3,UE Family life,TRUE,2016,TRUE,None,5,2.5,Expert assessment,1,"Online availability and usability of services for registering births, marriages and deaths",EC_2018_EGOV,eGBR
DIG,User experience,dig_usr_job,4,UE Finding and losing a job,TRUE,2016,TRUE,None,5,2.5,Expert assessment,1,Online availability and usability of services to help when you lose a job and for finding a new job,EC_2018_EGOV,eGBR
DIG,User experience,dig_usr_court,5,UE Small claims procedures,TRUE,2017,TRUE,None,5,2.5,Expert assessment,1,Online availability and usability of services for initiating small claims/magistrates procedures,EC_2018_EGOV,eGBR
DIG,Key enablers,dig_key_busstart,6,KE Business start-up,TRUE,2016,TRUE,None,5,2.5,Expert assessment,1,Use of authentication and other enabling functions for business start-up and initial operations,EC_2018_EGOV,eGBR
DIG,Key enablers,dig_key_regbus,7,KE Regular business operations,TRUE,2017,TRUE,None,5,2.5,Expert assessment,1,Use of authentication and other enabling functions for regular business operations,EC_2018_EGOV,eGBR
