indicator,metric_id,datapoint_id,order,metric_label,datapoint_label,coding,composite_calc
CRM,crm_approach,gcr_approach_natstrat,1.01,Strategic approach,[OECD] Does your government have a national strategy for the management of critical risks?,Yes = 1; No = 0,Sum of variables [Range 0 to 7]
CRM,crm_approach,gcr_approach_allhaz,1.02,Strategic approach,[OECD] Does your government's national strategy adopt an all-hazards approach to risk?,Yes = 1; No = 0,Sum of variables [Range 0 to 7]
CRM,crm_approach,gcr_approach_leadinst,1.03,Strategic approach,[OECD] Does your government have an institution that is assigned leadership at the national level for the management of critical risks,Yes = 1; No = 0,Sum of variables [Range 0 to 7]
CRM,crm_approach,gcr_approach_ldinstrep,1.04,Strategic approach,[OECD] Does the lead institution on the management of critical risks report to the centre of government?,Yes = 1; No = 0,Sum of variables [Range 0 to 7]
CRM,crm_approach,gcr_approach_ldinstcog,1.05,Strategic approach,[OECD] Does the lead institution prepare a report on its functions to the Head of Government and/or a Cabinet level minister?,Yes = 1; No = 0,Sum of variables [Range 0 to 7]
CRM,crm_approach,gcr_approach_consult,1.06,Strategic approach,[OECD] Does the institution consult with a variety of stakeholders in the policy-formulation process for the management of critical risks?,Yes = 1; No = 0,Sum of variables [Range 0 to 7]
CRM,crm_approach,gcr_approach_monitor,1.07,Strategic approach,[OECD] Does your government have a mechanism for monitoring unexpected events in order to quickly build situation awareness about critical riss once they actually occur?,Yes = 1; No = 0,Sum of variables [Range 0 to 7]
CRM,crm_communications,gcr_comms_wholesocty,9.01,Risk communications,[OECD] Does your government encourage a whole-of-society approach to risk communication?,Yes = 1; No = 0,Sum of variables [Range 0 to 3]
CRM,crm_communications,gcr_comms_cmncteval,9.02,Risk communications,[OECD] Has your government communicated the results of any such evaluations to the public in past?,Yes = 1; No = 0,Sum of variables [Range 0 to 3]
CRM,crm_communications,gcr_comms_pubassmnt,9.03,Risk communications,[OECD] Does your government make information that is used for the assessment of critical risks available to the public?,Yes = 1; No = 0,Sum of variables [Range 0 to 3]
CRM,crm_earlywarn,hfa_earlywarn1,10.01,Early warning systems,[UN] PA2-C3: Do risk prone communities receive timely and understandable warnings of impending hazard events?,Yes = 1; No = 0,Sum of variables [Range 0 to 3]
