cc_iso3c | incise_2019 | sens_55 | sens_60 | sens_75 | sens_2017 | rank_2019 | rank_55 | rank_60 | rank_75 | rank_2017
======== | =========== | ======= | ======= | ======= | ========= | ========= | ======= | ======= | ======= | =========
GBR      | 1.000 | 1.000 | 1.000 | 1.000 | 1.000 |  1 |  1 |  1 |  1 |  1
NZL      | 0.980 | 0.987 | 0.987 | 0.992 | 0.985 |  2 |  2 |  2 |  2 |  2
CAN      | 0.916 | 0.907 | 0.902 | 0.906 | 0.898 |  3 |  3 |  3 |  3 |  3
FIN      | 0.883 | 0.887 | 0.881 | 0.886 | 0.879 |  4 |  4 |  4 |  4 |  4
AUS      | 0.863 | 0.859 | 0.858 |       | 0.859 |  5 |  5 |  5 |    |  5
DNK      | 0.832 | 0.854 | 0.847 | 0.850 | 0.843 |  6 |  6 |  6 |  5 |  6
NOR      | 0.830 | 0.832 | 0.830 | 0.831 | 0.828 |  7 |  7 |  7 |  6 |  7
NLD      | 0.794 | 0.792 | 0.790 | 0.790 | 0.786 |  8 |  8 |  8 |  7 |  8
KOR      | 0.785 | 0.781 | 0.779 | 0.777 | 0.773 |  9 |  9 |  9 |  8 | 10
SWE      | 0.785 | 0.773 | 0.775 | 0.775 | 0.775 | 10 | 10 | 10 |  9 |  9
USA      | 0.765 | 0.759 |       |       | 0.758 | 11 | 11 |    |    | 11
EST      | 0.674 | 0.675 | 0.674 | 0.672 | 0.671 | 12 | 12 | 11 | 10 | 12
CHE      | 0.650 | 0.639 | 0.635 | 0.641 | 0.635 | 13 | 13 | 12 | 11 | 13
IRL      | 0.625 | 0.623 | 0.617 | 0.619 | 0.611 | 14 | 16 | 15 | 14 | 16
FRA      | 0.619 | 0.626 | 0.627 | 0.627 | 0.628 | 15 | 15 | 13 | 12 | 14
AUT      | 0.617 | 0.626 | 0.621 | 0.624 | 0.620 | 16 | 14 | 14 | 13 | 15
ESP      | 0.599 | 0.596 | 0.589 | 0.586 | 0.590 | 17 | 17 | 16 | 15 | 17
MEX      | 0.507 | 0.500 | 0.504 |       | 0.505 | 18 | 19 | 17 |    | 18
DEU      | 0.505 | 0.502 | 0.503 | 0.504 | 0.502 | 19 | 18 | 18 | 16 | 19
LTU      | 0.487 | 0.490 | 0.483 | 0.484 |       | 20 | 20 | 19 | 18 |
BEL      | 0.485 | 0.483 | 0.475 | 0.482 | 0.473 | 21 | 22 | 21 | 19 | 21
JPN      | 0.472 | 0.485 | 0.481 | 0.488 | 0.479 | 22 | 21 | 20 | 17 | 20
LVA      | 0.466 | 0.471 | 0.463 | 0.462 |       | 23 | 23 | 22 | 20 |
CHL      | 0.454 | 0.451 | 0.450 | 0.452 | 0.446 | 24 | 24 | 23 | 21 | 22
ITA      | 0.419 | 0.431 | 0.428 | 0.424 | 0.427 | 25 | 25 | 24 | 22 | 23
SVN      | 0.369 | 0.359 | 0.358 | 0.360 | 0.359 | 26 | 26 | 25 | 23 | 24
ISR      | 0.315 | 0.322 |       |       |       | 27 | 27 |    |    |
POL      | 0.282 | 0.277 | 0.274 | 0.281 | 0.274 | 28 | 28 | 26 | 24 | 25
PRT      | 0.259 | 0.260 | 0.260 | 0.259 | 0.258 | 29 | 29 | 27 | 25 | 27
CZE      | 0.245 | 0.260 | 0.260 | 0.257 | 0.259 | 30 | 30 | 28 | 26 | 26
ISL      | 0.228 | 0.233 |       |       |       | 31 | 31 |    |    |
TUR      | 0.189 | 0.181 | 0.184 | 0.176 | 0.182 | 32 | 32 | 29 | 27 | 28
SVK      | 0.172 | 0.178 | 0.175 | 0.171 | 0.175 | 33 | 33 | 30 | 28 | 29
BGR      | 0.147 |       |       |       |       | 34 |    |    |    |
HRV      | 0.140 |       |       |       |       | 35 |    |    |    |
ROU      | 0.127 |       |       |       |       | 36 |    |    |    |
GRC      | 0.107 | 0.103 | 0.098 | 0.092 | 0.098 | 37 | 34 | 31 | 29 | 30
HUN      | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 38 | 35 | 32 | 30 | 31
MAE      |       | 0.006 | 0.006 | 0.007 | 0.007 |    |    |    |    |
