cc_iso3c | incise_2019 | sens_cap1 | sens_cap2 | sens_2015 | sens_2016 | rank_2019 | rank_cap1 | rank_cap2 | rank_2015 | rank_2016
======== | =========== | ========= | ========= | ========= | ========= | ========= | ========= | ========= | ========= | =========
GBR      | 1.000 | 1.000 | 1.000 | 1.000 | 1.000 |  1 |  1 |  1 |  1 |  1
NZL      | 0.980 | 0.955 | 0.955 | 0.949 | 0.912 |  2 |  2 |  2 |  2 |  2
CAN      | 0.916 | 0.906 | 0.906 | 0.895 | 0.834 |  3 |  3 |  3 |  3 |  3
FIN      | 0.883 | 0.873 | 0.873 | 0.881 | 0.830 |  4 |  5 |  5 |  4 |  4
AUS      | 0.863 | 0.875 | 0.875 | 0.869 | 0.810 |  5 |  4 |  4 |  5 |  5
DNK      | 0.832 | 0.817 | 0.817 | 0.789 | 0.775 |  6 |  7 |  7 |  9 |  8
NOR      | 0.830 | 0.836 | 0.836 | 0.843 | 0.791 |  7 |  6 |  6 |  6 |  6
NLD      | 0.794 | 0.802 | 0.802 | 0.790 | 0.758 |  8 |  8 |  8 |  8 |  9
KOR      | 0.785 | 0.799 | 0.799 | 0.784 | 0.711 |  9 |  9 |  9 | 10 | 11
SWE      | 0.785 | 0.791 | 0.791 | 0.802 | 0.787 | 10 | 10 | 10 |  7 |  7
USA      | 0.765 | 0.740 | 0.741 | 0.735 | 0.731 | 11 | 11 | 11 | 11 | 10
EST      | 0.674 | 0.664 | 0.665 | 0.639 | 0.594 | 12 | 12 | 12 | 12 | 17
CHE      | 0.650 | 0.653 | 0.653 | 0.639 | 0.597 | 13 | 14 | 14 | 13 | 14
IRL      | 0.625 | 0.622 | 0.623 | 0.619 | 0.594 | 14 | 16 | 16 | 15 | 15
FRA      | 0.619 | 0.655 | 0.656 | 0.628 | 0.636 | 15 | 13 | 13 | 14 | 12
AUT      | 0.617 | 0.635 | 0.636 | 0.606 | 0.594 | 16 | 15 | 15 | 16 | 16
ESP      | 0.599 | 0.608 | 0.609 | 0.593 | 0.602 | 17 | 17 | 17 | 17 | 13
MEX      | 0.507 | 0.519 | 0.519 | 0.519 | 0.523 | 18 | 20 | 20 | 19 | 19
DEU      | 0.505 | 0.521 | 0.521 | 0.506 | 0.536 | 19 | 19 | 19 | 21 | 18
LTU      | 0.487 | 0.534 | 0.534 | 0.518 | 0.484 | 20 | 18 | 18 | 20 | 20
BEL      | 0.485 | 0.506 | 0.506 | 0.526 | 0.434 | 21 | 21 | 21 | 18 | 22
JPN      | 0.472 | 0.495 | 0.495 | 0.482 | 0.444 | 22 | 22 | 22 | 22 | 21
LVA      | 0.466 | 0.474 | 0.474 | 0.454 | 0.349 | 23 | 23 | 23 | 24 | 26
CHL      | 0.454 | 0.463 | 0.463 | 0.473 | 0.396 | 24 | 24 | 24 | 23 | 25
ITA      | 0.419 | 0.451 | 0.452 | 0.442 | 0.427 | 25 | 25 | 25 | 25 | 23
SVN      | 0.369 | 0.363 | 0.363 | 0.351 | 0.271 | 26 | 26 | 26 | 26 | 28
ISR      | 0.315 | 0.332 | 0.333 | 0.326 | 0.401 | 27 | 27 | 27 | 27 | 24
POL      | 0.282 | 0.268 | 0.269 | 0.237 | 0.083 | 28 | 28 | 28 | 30 | 36
PRT      | 0.259 | 0.256 | 0.256 | 0.238 | 0.220 | 29 | 30 | 30 | 29 | 29
CZE      | 0.245 | 0.240 | 0.240 | 0.221 | 0.309 | 30 | 31 | 31 | 32 | 27
ISL      | 0.228 | 0.238 | 0.238 | 0.233 | 0.218 | 31 | 32 | 32 | 31 | 30
TUR      | 0.189 | 0.261 | 0.262 | 0.244 | 0.141 | 32 | 29 | 29 | 28 | 32
SVK      | 0.172 | 0.156 | 0.156 | 0.159 | 0.150 | 33 | 34 | 34 | 33 | 31
BGR      | 0.147 | 0.153 | 0.153 | 0.135 | 0.110 | 34 | 35 | 35 | 34 | 34
HRV      | 0.140 | 0.144 | 0.144 | 0.118 | 0.073 | 35 | 36 | 36 | 36 | 37
ROU      | 0.127 | 0.128 | 0.128 | 0.105 | 0.104 | 36 | 37 | 37 | 37 | 35
GRC      | 0.107 | 0.158 | 0.158 | 0.129 | 0.113 | 37 | 33 | 33 | 35 | 33
HUN      | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 38 | 38 | 38 | 38 | 38
MAE      |       | 0.015 | 0.015 | 0.017 | 0.045 |    |    |    |    |
