cc_iso3c | incise_2019 | sens_5050 | sens_equal | sens_dqa | sens_internal | sens_sum | rank_2019 | rank_5050 | rank_equal | rank_dqa | rank_internal | rank_sum
======== | =========== | ========= | ========== | ======== | ============= | ======== | ========= | ========= | ========== | ======== | ============= | ========
GBR      | 1.000 | 1.000 | 0.999 | 1.000 | 1.000 | 0.949 |  1 |  1 |  2 |  1 |  1 |  2
NZL      | 0.980 | 0.970 | 1.000 | 0.941 | 0.941 | 1.000 |  2 |  2 |  1 |  2 |  2 |  1
CAN      | 0.916 | 0.911 | 0.927 | 0.895 | 0.896 | 0.928 |  3 |  3 |  3 |  3 |  3 |  3
FIN      | 0.883 | 0.876 | 0.895 | 0.858 | 0.824 | 0.897 |  4 |  4 |  4 |  4 |  5 |  4
AUS      | 0.863 | 0.859 | 0.869 | 0.850 | 0.864 | 0.864 |  5 |  5 |  5 |  5 |  4 |  5
DNK      | 0.832 | 0.823 | 0.851 | 0.797 | 0.774 | 0.855 |  6 |  7 |  6 |  7 |  8 |  6
NOR      | 0.830 | 0.825 | 0.839 | 0.812 | 0.805 | 0.851 |  7 |  6 |  7 |  6 |  7 |  7
NLD      | 0.794 | 0.787 | 0.809 | 0.765 | 0.745 | 0.783 |  8 |  8 |  8 | 10 | 10 | 10
KOR      | 0.785 | 0.786 | 0.784 | 0.786 | 0.809 | 0.787 |  9 |  9 | 11 |  8 |  6 |  9
SWE      | 0.785 | 0.782 | 0.790 | 0.775 | 0.763 | 0.805 | 10 | 10 |  9 |  9 |  9 |  8
USA      | 0.765 | 0.754 | 0.787 | 0.722 | 0.724 | 0.781 | 11 | 11 | 10 | 11 | 11 | 11
EST      | 0.674 | 0.667 | 0.687 | 0.649 | 0.657 | 0.740 | 12 | 12 | 12 | 12 | 12 | 12
CHE      | 0.650 | 0.647 | 0.656 | 0.637 | 0.613 | 0.639 | 13 | 13 | 13 | 13 | 14 | 14
IRL      | 0.625 | 0.616 | 0.641 | 0.593 | 0.598 | 0.601 | 14 | 15 | 14 | 15 | 16 | 17
FRA      | 0.619 | 0.618 | 0.620 | 0.615 | 0.635 | 0.609 | 15 | 14 | 16 | 14 | 13 | 16
AUT      | 0.617 | 0.608 | 0.635 | 0.583 | 0.607 | 0.649 | 16 | 16 | 15 | 16 | 15 | 13
ESP      | 0.599 | 0.593 | 0.611 | 0.576 | 0.589 | 0.611 | 17 | 17 | 17 | 17 | 17 | 15
MEX      | 0.507 | 0.511 | 0.497 | 0.524 | 0.497 | 0.412 | 18 | 18 | 19 | 18 | 19 | 24
DEU      | 0.505 | 0.503 | 0.507 | 0.499 | 0.514 | 0.525 | 19 | 19 | 18 | 19 | 18 | 18
LTU      | 0.487 | 0.489 | 0.483 | 0.494 | 0.482 | 0.470 | 20 | 20 | 21 | 20 | 20 | 22
BEL      | 0.485 | 0.482 | 0.491 | 0.473 | 0.477 | 0.488 | 21 | 21 | 20 | 21 | 21 | 21
JPN      | 0.472 | 0.471 | 0.475 | 0.467 | 0.438 | 0.503 | 22 | 22 | 23 | 22 | 24 | 19
LVA      | 0.466 | 0.460 | 0.479 | 0.442 | 0.447 | 0.498 | 23 | 23 | 22 | 24 | 23 | 20
CHL      | 0.454 | 0.451 | 0.459 | 0.444 | 0.461 | 0.440 | 24 | 24 | 24 | 23 | 22 | 23
ITA      | 0.419 | 0.419 | 0.418 | 0.420 | 0.436 | 0.368 | 25 | 25 | 25 | 25 | 25 | 26
SVN      | 0.369 | 0.360 | 0.388 | 0.333 | 0.338 | 0.394 | 26 | 26 | 26 | 26 | 26 | 25
ISR      | 0.315 | 0.309 | 0.326 | 0.294 | 0.314 | 0.334 | 27 | 27 | 27 | 27 | 27 | 27
POL      | 0.282 | 0.276 | 0.293 | 0.261 | 0.236 | 0.291 | 28 | 28 | 28 | 28 | 29 | 28
PRT      | 0.259 | 0.253 | 0.273 | 0.235 | 0.241 | 0.289 | 29 | 29 | 29 | 29 | 28 | 29
CZE      | 0.245 | 0.240 | 0.253 | 0.228 | 0.174 | 0.254 | 30 | 30 | 30 | 30 | 32 | 31
ISL      | 0.228 | 0.223 | 0.239 | 0.207 | 0.218 | 0.270 | 31 | 31 | 31 | 32 | 31 | 30
TUR      | 0.189 | 0.194 | 0.177 | 0.209 | 0.231 | 0.063 | 32 | 32 | 32 | 31 | 30 | 35
SVK      | 0.172 | 0.170 | 0.175 | 0.166 | 0.107 | 0.143 | 33 | 33 | 33 | 33 | 35 | 32
BGR      | 0.147 | 0.146 | 0.150 | 0.141 | 0.129 | 0.127 | 34 | 34 | 34 | 34 | 33 | 33
HRV      | 0.140 | 0.140 | 0.140 | 0.140 | 0.086 | 0.069 | 35 | 35 | 35 | 35 | 36 | 34
ROU      | 0.127 | 0.131 | 0.120 | 0.140 | 0.070 | 0.050 | 36 | 36 | 36 | 36 | 37 | 36
GRC      | 0.107 | 0.111 | 0.099 | 0.123 | 0.123 | 0.000 | 37 | 37 | 37 | 37 | 34 | 38
HUN      | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.023 | 38 | 38 | 38 | 38 | 38 | 37
MAE      |       | 0.004 | 0.009 | 0.017 | 0.026 | 0.032 |    |    |    |    |    |
