cc_iso3c | incise_2019 | sens_rank | sens_rescale | sens_std | rank_2019 | rank_rank | rank_rescale | rank_std
======== | =========== | ========= | ============ | ======== | ========= | ========= | ============ | ========
GBR      | 1.000 | 1.000 | 1.000 | 1.000 |  1 |  1 |  1 |  1
NZL      | 0.980 | 0.951 | 0.978 | 0.979 |  2 |  2 |  2 |  2
CAN      | 0.916 | 0.893 | 0.927 | 0.908 |  3 |  3 |  3 |  3
FIN      | 0.883 | 0.883 | 0.885 | 0.885 |  4 |  4 |  4 |  4
AUS      | 0.863 | 0.833 | 0.868 | 0.864 |  5 |  6 |  5 |  5
DNK      | 0.832 | 0.862 | 0.824 | 0.827 |  6 |  5 |  7 |  7
NOR      | 0.830 | 0.789 | 0.830 | 0.829 |  7 | 10 |  6 |  6
NLD      | 0.794 | 0.815 | 0.794 | 0.783 |  8 |  8 |  8 |  9
KOR      | 0.785 | 0.818 | 0.767 | 0.770 |  9 |  7 | 10 | 11
SWE      | 0.785 | 0.802 | 0.785 | 0.784 | 10 |  9 |  9 |  8
USA      | 0.765 | 0.775 | 0.737 | 0.781 | 11 | 11 | 11 | 10
EST      | 0.674 | 0.680 | 0.666 | 0.671 | 12 | 13 | 12 | 12
CHE      | 0.650 | 0.681 | 0.630 | 0.625 | 13 | 12 | 15 | 13
IRL      | 0.625 | 0.588 | 0.631 | 0.623 | 14 | 15 | 14 | 14
FRA      | 0.619 | 0.632 | 0.633 | 0.620 | 15 | 14 | 13 | 15
AUT      | 0.617 | 0.573 | 0.622 | 0.612 | 16 | 17 | 16 | 16
ESP      | 0.599 | 0.577 | 0.598 | 0.591 | 17 | 16 | 17 | 17
MEX      | 0.507 | 0.461 | 0.517 | 0.522 | 18 | 23 | 18 | 18
DEU      | 0.505 | 0.506 | 0.497 | 0.488 | 19 | 20 | 19 | 21
LTU      | 0.487 | 0.495 | 0.490 | 0.497 | 20 | 21 | 21 | 20
BEL      | 0.485 | 0.514 | 0.493 | 0.513 | 21 | 19 | 20 | 19
JPN      | 0.472 | 0.521 | 0.478 | 0.484 | 22 | 18 | 23 | 22
LVA      | 0.466 | 0.432 | 0.461 | 0.453 | 23 | 24 | 24 | 24
CHL      | 0.454 | 0.465 | 0.484 | 0.474 | 24 | 22 | 22 | 23
ITA      | 0.419 | 0.402 | 0.415 | 0.412 | 25 | 25 | 25 | 25
SVN      | 0.369 | 0.386 | 0.366 | 0.361 | 26 | 26 | 26 | 26
ISR      | 0.315 | 0.322 | 0.324 | 0.327 | 27 | 27 | 27 | 27
POL      | 0.282 | 0.242 | 0.276 | 0.273 | 28 | 29 | 28 | 28
PRT      | 0.259 | 0.223 | 0.252 | 0.238 | 29 | 31 | 31 | 31
CZE      | 0.245 | 0.275 | 0.257 | 0.251 | 30 | 28 | 29 | 30
ISL      | 0.228 | 0.230 | 0.254 | 0.263 | 31 | 30 | 30 | 29
TUR      | 0.189 | 0.185 | 0.179 | 0.190 | 32 | 32 | 32 | 32
SVK      | 0.172 | 0.170 | 0.177 | 0.162 | 33 | 33 | 33 | 33
BGR      | 0.147 | 0.122 | 0.135 | 0.113 | 34 | 35 | 35 | 35
HRV      | 0.140 | 0.131 | 0.151 | 0.139 | 35 | 34 | 34 | 34
ROU      | 0.127 | 0.107 | 0.102 | 0.090 | 36 | 36 | 36 | 36
GRC      | 0.107 | 0.072 | 0.066 | 0.075 | 37 | 37 | 37 | 37
HUN      | 0.000 | 0.000 | 0.000 | 0.000 | 38 | 38 | 38 | 38
MAE      |       | 0.021 | 0.010 | 0.011 |    |    |    |
