cc_iso3c | incise_2019 | sens_allin | sens_midas | sens_rf | sens_mean | rank_2019 | rank_allin | rank_midas | rank_rf | rank_mean
======== | =========== | ========== | ========== | ======= | ========= | ========= | ========== | ========== | ======= | =========
GBR      | 1.000 | 0.989 | 1.000 | 1.000 | 1.000 |  1 |  2 |  1 |  1 |  1
NZL      | 0.980 | 1.000 | 0.975 | 0.981 | 0.966 |  2 |  1 |  2 |  2 |  2
CAN      | 0.916 | 0.862 | 0.902 | 0.891 | 0.867 |  3 |  5 |  3 |  3 |  3
FIN      | 0.883 | 0.881 | 0.884 | 0.874 | 0.850 |  4 |  3 |  4 |  4 |  4
AUS      | 0.863 | 0.872 | 0.807 | 0.854 | 0.821 |  5 |  4 |  7 |  5 |  6
DNK      | 0.832 | 0.833 | 0.838 | 0.837 | 0.808 |  6 |  7 |  5 |  6 |  7
NOR      | 0.830 | 0.834 | 0.831 | 0.831 | 0.824 |  7 |  6 |  6 |  7 |  5
NLD      | 0.794 | 0.791 | 0.794 | 0.766 | 0.762 |  8 |  9 |  8 |  9 |  9
KOR      | 0.785 | 0.738 | 0.764 | 0.755 | 0.728 |  9 | 10 | 10 | 10 | 10
SWE      | 0.785 | 0.799 | 0.792 | 0.785 | 0.788 | 10 |  8 |  9 |  8 |  8
USA      | 0.765 | 0.691 | 0.747 | 0.721 | 0.699 | 11 | 11 | 11 | 11 | 11
EST      | 0.674 | 0.639 | 0.627 | 0.665 | 0.590 | 12 | 12 | 13 | 12 | 15
CHE      | 0.650 | 0.621 | 0.646 | 0.613 | 0.595 | 13 | 15 | 12 | 14 | 13
IRL      | 0.625 | 0.562 | 0.608 | 0.601 | 0.534 | 14 | 17 | 16 | 16 | 17
FRA      | 0.619 | 0.629 | 0.619 | 0.603 | 0.605 | 15 | 13 | 14 | 15 | 12
AUT      | 0.617 | 0.621 | 0.618 | 0.614 | 0.593 | 16 | 14 | 15 | 13 | 14
ESP      | 0.599 | 0.609 | 0.598 | 0.598 | 0.574 | 17 | 16 | 17 | 17 | 16
MEX      | 0.507 | 0.460 | 0.498 | 0.485 | 0.482 | 18 | 20 | 18 | 19 | 19
DEU      | 0.505 | 0.488 | 0.494 | 0.484 | 0.490 | 19 | 18 | 19 | 20 | 18
LTU      | 0.487 | 0.431 | 0.472 | 0.474 | 0.427 | 20 | 22 | 20 | 21 | 22
BEL      | 0.485 | 0.465 | 0.471 | 0.501 | 0.447 | 21 | 19 | 21 | 18 | 20
JPN      | 0.472 | 0.421 | 0.460 | 0.452 | 0.429 | 22 | 24 | 22 | 23 | 21
LVA      | 0.466 | 0.367 | 0.414 | 0.423 | 0.365 | 23 | 26 | 24 | 24 | 25
CHL      | 0.454 | 0.447 | 0.458 | 0.469 | 0.419 | 24 | 21 | 23 | 22 | 23
ITA      | 0.419 | 0.426 | 0.412 | 0.405 | 0.397 | 25 | 23 | 25 | 25 | 24
SVN      | 0.369 | 0.395 | 0.368 | 0.363 | 0.358 | 26 | 25 | 26 | 26 | 26
ISR      | 0.315 | 0.246 | 0.294 | 0.322 | 0.269 | 27 | 29 | 27 | 27 | 27
POL      | 0.282 | 0.302 | 0.277 | 0.262 | 0.260 | 28 | 27 | 28 | 29 | 28
PRT      | 0.259 | 0.294 | 0.266 | 0.241 | 0.252 | 29 | 28 | 29 | 31 | 30
CZE      | 0.245 | 0.219 | 0.227 | 0.241 | 0.243 | 30 | 30 | 31 | 30 | 31
ISL      | 0.228 | 0.207 | 0.235 | 0.297 | 0.254 | 31 | 31 | 30 | 28 | 29
TUR      | 0.189 | 0.184 | 0.195 | 0.197 | 0.180 | 32 | 33 | 32 | 32 | 32
SVK      | 0.172 | 0.203 | 0.170 | 0.153 | 0.132 | 33 | 32 | 33 | 33 | 34
BGR      | 0.147 | 0.138 | 0.144 | 0.095 | 0.129 | 34 | 35 | 35 | 36 | 35
HRV      | 0.140 | 0.144 | 0.159 | 0.145 | 0.169 | 35 | 34 | 34 | 34 | 33
ROU      | 0.127 | 0.095 | 0.128 | 0.101 | 0.121 | 36 | 37 | 36 | 35 | 36
GRC      | 0.107 | 0.119 | 0.081 | 0.075 | 0.066 | 37 | 36 | 37 | 37 | 37
HUN      | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 38 | 38 | 38 | 38 | 38
MAE      |       | 0.026 | 0.011 | 0.018 | 0.032 |    |    |    |    |
