"cc_iso3c","var","value","group","ord"
"AUS","incise_2019",0.863,0,1
"AUS","sens_55",0.859,1,2
"AUS","sens_60",0.858,1,3
"AUS","sens_75",NA,1,4
"AUS","sens_2017",0.859,1,5
"AUS","rank_2019",5,0,6
"AUS","rank_55",5,1,7
"AUS","rank_60",5,1,8
"AUS","rank_75",NA,1,9
"AUS","rank_2017",5,1,10
"AUS","sens_cap1",0.875,2,11
"AUS","sens_cap2",0.875,2,12
"AUS","sens_2015",0.869,2,13
"AUS","sens_2016",0.81,2,14
"AUS","rank_cap1",4,2,15
"AUS","rank_cap2",4,2,16
"AUS","rank_2015",5,2,17
"AUS","rank_2016",5,2,18
"AUS","sens_5050",0.859,3,19
"AUS","sens_equal",0.869,3,20
"AUS","sens_dqa",0.85,3,21
"AUS","sens_internal",0.864,3,22
"AUS","sens_sum",0.864,3,23
"AUS","rank_5050",5,3,24
"AUS","rank_equal",5,3,25
"AUS","rank_dqa",5,3,26
"AUS","rank_internal",4,3,27
"AUS","rank_sum",5,3,28
"AUS","sens_rank",0.833,4,29
"AUS","sens_rescale",0.868,4,30
"AUS","sens_std",0.864,4,31
"AUS","rank_rank",6,4,32
"AUS","rank_rescale",5,4,33
"AUS","rank_std",5,4,34
"AUS","sens_allin",0.872,5,35
"AUS","sens_midas",0.807,5,36
"AUS","sens_rf",0.854,5,37
"AUS","sens_mean",0.821,5,38
"AUS","rank_allin",4,5,39
"AUS","rank_midas",7,5,40
"AUS","rank_rf",5,5,41
"AUS","rank_mean",6,5,42
"AUT","incise_2019",0.617,0,1
"AUT","sens_55",0.626,1,2
"AUT","sens_60",0.621,1,3
"AUT","sens_75",0.624,1,4
"AUT","sens_2017",0.62,1,5
"AUT","rank_2019",16,0,6
"AUT","rank_55",14,1,7
"AUT","rank_60",14,1,8
"AUT","rank_75",13,1,9
"AUT","rank_2017",15,1,10
"AUT","sens_cap1",0.635,2,11
"AUT","sens_cap2",0.636,2,12
"AUT","sens_2015",0.606,2,13
"AUT","sens_2016",0.594,2,14
"AUT","rank_cap1",15,2,15
"AUT","rank_cap2",15,2,16
"AUT","rank_2015",16,2,17
"AUT","rank_2016",16,2,18
"AUT","sens_5050",0.608,3,19
"AUT","sens_equal",0.635,3,20
"AUT","sens_dqa",0.583,3,21
"AUT","sens_internal",0.607,3,22
"AUT","sens_sum",0.649,3,23
"AUT","rank_5050",16,3,24
"AUT","rank_equal",15,3,25
"AUT","rank_dqa",16,3,26
"AUT","rank_internal",15,3,27
"AUT","rank_sum",13,3,28
"AUT","sens_rank",0.573,4,29
"AUT","sens_rescale",0.622,4,30
"AUT","sens_std",0.612,4,31
"AUT","rank_rank",17,4,32
"AUT","rank_rescale",16,4,33
"AUT","rank_std",16,4,34
"AUT","sens_allin",0.621,5,35
"AUT","sens_midas",0.618,5,36
"AUT","sens_rf",0.614,5,37
"AUT","sens_mean",0.593,5,38
"AUT","rank_allin",14,5,39
"AUT","rank_midas",15,5,40
"AUT","rank_rf",13,5,41
"AUT","rank_mean",14,5,42
"BEL","incise_2019",0.485,0,1
"BEL","sens_55",0.483,1,2
"BEL","sens_60",0.475,1,3
"BEL","sens_75",0.482,1,4
"BEL","sens_2017",0.473,1,5
"BEL","rank_2019",21,0,6
"BEL","rank_55",22,1,7
"BEL","rank_60",21,1,8
"BEL","rank_75",19,1,9
"BEL","rank_2017",21,1,10
"BEL","sens_cap1",0.506,2,11
"BEL","sens_cap2",0.506,2,12
"BEL","sens_2015",0.526,2,13
"BEL","sens_2016",0.434,2,14
"BEL","rank_cap1",21,2,15
"BEL","rank_cap2",21,2,16
"BEL","rank_2015",18,2,17
"BEL","rank_2016",22,2,18
"BEL","sens_5050",0.482,3,19
"BEL","sens_equal",0.491,3,20
"BEL","sens_dqa",0.473,3,21
"BEL","sens_internal",0.477,3,22
"BEL","sens_sum",0.488,3,23
"BEL","rank_5050",21,3,24
"BEL","rank_equal",20,3,25
"BEL","rank_dqa",21,3,26
"BEL","rank_internal",21,3,27
"BEL","rank_sum",21,3,28
"BEL","sens_rank",0.514,4,29
"BEL","sens_rescale",0.493,4,30
"BEL","sens_std",0.513,4,31
"BEL","rank_rank",19,4,32
"BEL","rank_rescale",20,4,33
"BEL","rank_std",19,4,34
"BEL","sens_allin",0.465,5,35
"BEL","sens_midas",0.471,5,36
"BEL","sens_rf",0.501,5,37
"BEL","sens_mean",0.447,5,38
"BEL","rank_allin",19,5,39
"BEL","rank_midas",21,5,40
"BEL","rank_rf",18,5,41
"BEL","rank_mean",20,5,42
"BGR","incise_2019",0.147,0,1
"BGR","sens_55",NA,1,2
"BGR","sens_60",NA,1,3
"BGR","sens_75",NA,1,4
"BGR","sens_2017",NA,1,5
"BGR","rank_2019",34,0,6
"BGR","rank_55",NA,1,7
"BGR","rank_60",NA,1,8
"BGR","rank_75",NA,1,9
"BGR","rank_2017",NA,1,10
"BGR","sens_cap1",0.153,2,11
"BGR","sens_cap2",0.153,2,12
"BGR","sens_2015",0.135,2,13
"BGR","sens_2016",0.11,2,14
"BGR","rank_cap1",35,2,15
"BGR","rank_cap2",35,2,16
"BGR","rank_2015",34,2,17
"BGR","rank_2016",34,2,18
"BGR","sens_5050",0.146,3,19
"BGR","sens_equal",0.15,3,20
"BGR","sens_dqa",0.141,3,21
"BGR","sens_internal",0.129,3,22
"BGR","sens_sum",0.127,3,23
"BGR","rank_5050",34,3,24
"BGR","rank_equal",34,3,25
"BGR","rank_dqa",34,3,26
"BGR","rank_internal",33,3,27
"BGR","rank_sum",33,3,28
"BGR","sens_rank",0.122,4,29
"BGR","sens_rescale",0.135,4,30
"BGR","sens_std",0.113,4,31
"BGR","rank_rank",35,4,32
"BGR","rank_rescale",35,4,33
"BGR","rank_std",35,4,34
"BGR","sens_allin",0.138,5,35
"BGR","sens_midas",0.144,5,36
"BGR","sens_rf",0.095,5,37
"BGR","sens_mean",0.129,5,38
"BGR","rank_allin",35,5,39
"BGR","rank_midas",35,5,40
"BGR","rank_rf",36,5,41
"BGR","rank_mean",35,5,42
"CAN","incise_2019",0.916,0,1
"CAN","sens_55",0.907,1,2
"CAN","sens_60",0.902,1,3
"CAN","sens_75",0.906,1,4
"CAN","sens_2017",0.898,1,5
"CAN","rank_2019",3,0,6
"CAN","rank_55",3,1,7
"CAN","rank_60",3,1,8
"CAN","rank_75",3,1,9
"CAN","rank_2017",3,1,10
"CAN","sens_cap1",0.906,2,11
"CAN","sens_cap2",0.906,2,12
"CAN","sens_2015",0.895,2,13
"CAN","sens_2016",0.834,2,14
"CAN","rank_cap1",3,2,15
"CAN","rank_cap2",3,2,16
"CAN","rank_2015",3,2,17
"CAN","rank_2016",3,2,18
"CAN","sens_5050",0.911,3,19
"CAN","sens_equal",0.927,3,20
"CAN","sens_dqa",0.895,3,21
"CAN","sens_internal",0.896,3,22
"CAN","sens_sum",0.928,3,23
"CAN","rank_5050",3,3,24
"CAN","rank_equal",3,3,25
"CAN","rank_dqa",3,3,26
"CAN","rank_internal",3,3,27
"CAN","rank_sum",3,3,28
"CAN","sens_rank",0.893,4,29
"CAN","sens_rescale",0.927,4,30
"CAN","sens_std",0.908,4,31
"CAN","rank_rank",3,4,32
"CAN","rank_rescale",3,4,33
"CAN","rank_std",3,4,34
"CAN","sens_allin",0.862,5,35
"CAN","sens_midas",0.902,5,36
"CAN","sens_rf",0.891,5,37
"CAN","sens_mean",0.867,5,38
"CAN","rank_allin",5,5,39
"CAN","rank_midas",3,5,40
"CAN","rank_rf",3,5,41
"CAN","rank_mean",3,5,42
"CHE","incise_2019",0.65,0,1
"CHE","sens_55",0.639,1,2
"CHE","sens_60",0.635,1,3
"CHE","sens_75",0.641,1,4
"CHE","sens_2017",0.635,1,5
"CHE","rank_2019",13,0,6
"CHE","rank_55",13,1,7
"CHE","rank_60",12,1,8
"CHE","rank_75",11,1,9
"CHE","rank_2017",13,1,10
"CHE","sens_cap1",0.653,2,11
"CHE","sens_cap2",0.653,2,12
"CHE","sens_2015",0.639,2,13
"CHE","sens_2016",0.597,2,14
"CHE","rank_cap1",14,2,15
"CHE","rank_cap2",14,2,16
"CHE","rank_2015",13,2,17
"CHE","rank_2016",14,2,18
"CHE","sens_5050",0.647,3,19
"CHE","sens_equal",0.656,3,20
"CHE","sens_dqa",0.637,3,21
"CHE","sens_internal",0.613,3,22
"CHE","sens_sum",0.639,3,23
"CHE","rank_5050",13,3,24
"CHE","rank_equal",13,3,25
"CHE","rank_dqa",13,3,26
"CHE","rank_internal",14,3,27
"CHE","rank_sum",14,3,28
"CHE","sens_rank",0.681,4,29
"CHE","sens_rescale",0.63,4,30
"CHE","sens_std",0.625,4,31
"CHE","rank_rank",12,4,32
"CHE","rank_rescale",15,4,33
"CHE","rank_std",13,4,34
"CHE","sens_allin",0.621,5,35
"CHE","sens_midas",0.646,5,36
"CHE","sens_rf",0.613,5,37
"CHE","sens_mean",0.595,5,38
"CHE","rank_allin",15,5,39
"CHE","rank_midas",12,5,40
"CHE","rank_rf",14,5,41
"CHE","rank_mean",13,5,42
"CHL","incise_2019",0.454,0,1
"CHL","sens_55",0.451,1,2
"CHL","sens_60",0.45,1,3
"CHL","sens_75",0.452,1,4
