"cc_iso3c","dqa_cap_dqi","dqa_crm_dqi","dqa_dig_dqi","dqa_ffm_dqi","dqa_hrm_dqi","dqa_inc_dqi","dqa_int_dqi","dqa_opn_dqi","dqa_pol_dqi","dqa_pro_dqi","dqa_reg_dqi","dqa_tax_dqi","dqa_overall","dqa_fimp","dqa_avl_smpl"
"ABW",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"AFG",0,0.5093589757089744,0,0.4722222222222222,0.29259259259259257,0.11666666666666667,0.320343137754902,0.5750000024166667,0,0,0,0.21296296296296297,0.20826221336041562,5,0.3017241379310345
"AGO",0,0,0,0.4722222222222222,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.0661265432966821,9,0.04310344827586207
"AIA",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"ALA",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"ALB",0,0,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.663888891638889,0,0,0,0.21296296296296297,0.21454021480675836,6,0.28448275862068967
"AND",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0,0.034336419839891975,10,0.02586206896551724
"ARE",0,0.5093589757089744,0,0.4388888888888889,0.24074074074074073,0,0.04133986953104575,0.5750000024166667,0,0,0,0.21296296296296297,0.1681909533541066,6,0.19827586206896552
"ARG",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.11666666666666667,0.42263071995424834,0.663888891638889,0,0,0,0.7129629629629629,0.27712568474431176,5,0.3706896551724138
"ARM",0,0,0,0.4388888888888889,0.29259259259259257,0.2583333364583334,0.42263071995424834,0.10833333437500002,0,0,0,0.21296296296296297,0.14447848626933552,6,0.21551724137931033
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"ATA",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"ATF",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"ATG",0,0,0,0.3037037037037037,0,0,0,0.5750000024166667,0,0,0,0.21296296296296297,0.09097222242361111,9,0.07758620689655173
"AUS",0,0.8547008567008547,0,0.8888888888888888,0.6728395061728395,0.7222222284722224,0.5290849683202614,0.9277777819027778,1,0,0.962962962962963,0.8518518518518519,0.6175274204393884,3,0.7068965517241379
"AUT",0.3333333333333333,0.8547008567008547,0.5811965811965811,0.7203703703703703,0.6728395061728395,0.7222222284722224,0.5076797393120915,0.9277777819027778,1,0.7222222222222222,0.962962962962963,0.8518518518518519,0.7380964528748424,0,0.9827586206896551
"AZE",0,0,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.10833333437500002,0,0,0,0.21296296296296297,0.16824391836810096,6,0.23275862068965517
"BDI",0,0.5093589757089744,0,0.6074074074074074,0,0,0.10228758219934642,0.10833333437500002,0,0,0,0.21296296296296297,0.12836252188780758,7,0.13793103448275862
